country,week,NO2,PM2.5
Argentina,1,2.875,19.04166667
Argentina,2,4.75,31.17857143
Argentina,3,6.671428571,27.5
Argentina,4,4.833333333,23.75
Argentina,5,4.357142857,26.08333333
Argentina,6,3.910714286,18.85714286
Argentina,7,6.714285714,21.29166667
Argentina,8,5.571428571,34.71428571
Argentina,9,4.958333333,37.98214286
Argentina,10,4.666666667,37.95238095
Argentina,11,4.785714286,40.85714286
Argentina,12,3.642857143,32.28571429
Argentina,13,2.785714286,30.21428571
Argentina,14,2.25,29
Australia,1,4.038333333,46.275
Australia,2,5.366666667,49.66468254
Australia,3,5.95047619,42.25936508
Australia,4,5.766666667,28.12619048
Australia,5,6.011904762,26.99285714
Australia,6,5.283333333,30.52047619
Australia,7,5.004761905,22.93492063
Australia,8,5.457142857,22.15952381
Australia,9,6.464761905,21.43035714
Australia,10,5.50952381,24.44761905
Australia,11,5.280952381,21.79333333
Australia,12,5.423809524,21.17738095
Australia,13,4.418095238,24.85428571
Australia,14,5.7,18.08333333
Austria,1,12.4,66.75
Austria,2,15.85714286,72.85714286
Austria,3,12.28571429,74.71428571
Austria,4,14.14285714,69.71428571
Austria,5,12,40.28571429
Austria,6,12.14285714,26.28571429
Austria,7,10.57142857,30.71428571
Austria,8,12.42857143,30.85714286
Austria,9,10.57142857,17.57142857
Austria,10,9.857142857,25.57142857
Austria,11,10.14285714,24
Austria,12,13,50.14285714
Austria,13,10,55
Austria,14,10,44.5
Bolivia,1,8.6,19.1875
Bolivia,2,7.928571429,22.25238095
Bolivia,3,9.585714286,23.9047619
Bolivia,4,10.60714286,26.78095238
Bolivia,5,7.828571429,24.83333333
Bolivia,6,9.410714286,25.63888889
Bolivia,7,11.35714286,27.76190476
Bolivia,8,7.5,32.76190476
Bolivia,9,6.857142857,24.68253968
Bolivia,10,6.535714286,25.95238095
Bolivia,11,3.607142857,22.71428571
Bolivia,12,5.714285714,29.0952381
Bolivia,13,3.964285714,23.85714286
Bolivia,14,4.75,28
Brazil,1,12.9375,39.16666667
Brazil,2,18.16071429,47.19642857
Brazil,3,15.36785714,44.79761905
Brazil,4,14.18928571,58.83333333
Brazil,5,16.07142857,48.96428571
Brazil,6,13.67857143,36.875
Brazil,7,14.49642857,42.47301587
Brazil,8,15.30357143,53.55555556
Brazil,9,13.82142857,57.52678571
Brazil,10,13.21428571,66.01785714
Brazil,11,13.875,57.41428571
Brazil,12,11.78571429,56.82142857
Brazil,13,11.08928571,49.32142857
Brazil,14,13.0625,63.9375
Cambodia,1,,
Cambodia,2,,
Cambodia,3,,
Cambodia,4,,
Cambodia,5,,
Cambodia,6,,
Cambodia,7,,
Cambodia,8,,
Cambodia,9,,
Cambodia,10,,
Cambodia,11,6.4,149.75
Cambodia,12,7,143.5714286
Cambodia,13,4.5,151.4285714
Cambodia,14,4,151
Canada,1,8.666666667,21.88541667
Canada,2,10.5952381,26.46428571
Canada,3,10.64285714,30.08928571
Canada,4,14.42857143,30.79761905
Canada,5,12.5,25.27380952
Canada,6,10.27380952,23.57738095
Canada,7,10.67857143,32.97619048
Canada,8,10.57142857,28.83928571
Canada,9,9.321428571,28.69047619
Canada,10,8.071428571,25.21130952
Canada,11,6.607142857,26.17857143
Canada,12,7.738095238,30.42857143
Canada,13,6.428571429,27.64880952
Canada,14,4.5,21.52083333
Chile,1,13.9,60.41666667
Chile,2,23.5,68.80952381
Chile,3,19.35714286,65.00793651
Chile,4,14.14285714,63.77777778
Chile,5,14.14285714,59.38095238
Chile,6,14.02857143,60.0952381
Chile,7,18.6,82.58730159
Chile,8,20.35714286,73.96825397
Chile,9,19.5,78.61904762
Chile,10,19.5,90.33333333
Chile,11,21,91.42857143
Chile,12,19.33333333,93.46031746
Chile,13,16.57142857,93.42857143
Chile,14,19,108.1666667
China,1,32.51,141.0583333
China,2,24.07714286,103.8174603
China,3,25.28095238,147.4047619
China,4,20.2,135.7904762
China,5,15.63015873,143.3
China,6,14.65238095,104.847619
China,7,16.4952381,134.5238095
China,8,15.82857143,90.08571429
China,9,15.19047619,110.7738095
China,10,15.04761905,98.84761905
China,11,17.2984127,101.2952381
China,12,19.48571429,115.4333333
China,13,16.26190476,90.20714286
China,14,13.5,89.81666667
Czech Republic,1,14.25,84.91666667
Czech Republic,2,13.5,52.28571429
Czech Republic,3,14.28571429,99.04761905
Czech Republic,4,14.92857143,79.22857143
Czech Republic,5,11.07142857,50.92857143
Czech Republic,6,8.857142857,32.92857143
Czech Republic,7,9.571428571,57.78571429
Czech Republic,8,9.285714286,31.14285714
Czech Republic,9,8.357142857,20.25
Czech Republic,10,8.638095238,33.15238095
Czech Republic,11,7.952380952,32.11904762
Czech Republic,12,11.52380952,78.71428571
Czech Republic,13,6.857142857,78.07142857
Czech Republic,14,4.166666667,46.25
Ecuador,1,,47.75
Ecuador,2,,51.35714286
Ecuador,3,,48.92857143
Ecuador,4,,44.14285714
Ecuador,5,,59.5
Ecuador,6,,65.16666667
Ecuador,7,,70.5
Ecuador,8,,53.42857143
Ecuador,9,,51.57142857
Ecuador,10,,59.71428571
Ecuador,11,,60.17142857
Ecuador,12,,33.60714286
Ecuador,13,,50.42857143
Ecuador,14,,51.5
Egypt,1,5.2,
Egypt,2,8.714285714,
Egypt,3,8.285714286,
Egypt,4,8.428571429,
Egypt,5,7.571428571,
Egypt,6,8.142857143,
Egypt,7,11.14285714,
Egypt,8,8.714285714,
Egypt,9,8.714285714,
Egypt,10,8.714285714,
Egypt,11,7.714285714,
Egypt,12,10.42857143,
Egypt,13,3,
Egypt,14,3,
Finland,1,4.5,21.3125
Finland,2,8.178571429,22.28571429
Finland,3,5.321428571,23.14285714
Finland,4,5.821428571,15.21428571
Finland,5,5.714285714,23.89285714
Finland,6,6.75,17.03571429
Finland,7,6.321428571,24.60714286
Finland,8,4.5,24.21428571
Finland,9,7.678571429,22.89285714
Finland,10,8.214285714,23.42857143
Finland,11,5.142857143,27.21428571
Finland,12,5.571428571,21.64285714
Finland,13,3.714285714,33.10714286
Finland,14,7.25,16.375
France,1,16.23194444,65.88541667
France,2,17.41666667,51.7875
France,3,14.59920635,38.72619048
France,4,18.07142857,80.46428571
France,5,16.22619048,44.23809524
France,6,15.79761905,44.83630952
France,7,13.49206349,36.64821429
France,8,16.25396825,34.82738095
France,9,13.8531746,32.53571429
France,10,14.29166667,29.58492063
France,11,12.76984127,35.01190476
France,12,11.49603175,55.92857143
France,13,7.873015873,64.25
France,14,6.861111111,42.44791667
Germany,1,12.12333333,56.19444444
Germany,2,12.6452381,41.61904762
Germany,3,12.1452381,42.66666667
Germany,4,17.65952381,64.04761905
Germany,5,8.79047619,32.95238095
Germany,6,13.43571429,38.38095238
Germany,7,8.771428571,51.71428571
Germany,8,7.419047619,16.71428571
Germany,9,9.019047619,20.19047619
Germany,10,11.77380952,30.28571429
Germany,11,8.466666667,20.57142857
Germany,12,11.7952381,52.23809524
Germany,13,8.721428571,59.52380952
Germany,14,10.14166667,23.83333333
Greece,1,2.2,24.125
Greece,2,3.428571429,24.32142857
Greece,3,1.571428571,24.35714286
Greece,4,4.285714286,33.32142857
Greece,5,4.5,35.24404762
Greece,6,3.428571429,26.83928571
Greece,7,3.714285714,31.60714286
Greece,8,3.571428571,32.46428571
Greece,9,5.285714286,28.46428571
Greece,10,4.142857143,30.5
Greece,11,2,32.83571429
Greece,12,1.428571429,39.35119048
Greece,13,1.285714286,37.22142857
Greece,14,0.5,38.75
Hungary,1,15.27916667,87.125
Hungary,2,20.67857143,107.7857143
Hungary,3,13.78571429,90.5
Hungary,4,18.57142857,105.4785714
Hungary,5,16.21428571,61.5
Hungary,6,10.85,30.13095238
Hungary,7,14.23809524,42.35714286
Hungary,8,16.85714286,59.57142857
Hungary,9,11.82142857,36.45238095
Hungary,10,14.25,50.28571429
Hungary,11,17.64285714,52.82142857
Hungary,12,19.85714286,75.85714286
Hungary,13,9.25,57.57142857
Hungary,14,7.25,73.625
India,1,17.23333333,153.6055556
India,2,14.6547619,138.2914286
India,3,15.49285714,137.9142857
India,4,16.51761905,144.0901587
India,5,14.55714286,146.0952381
India,6,15.5047619,144.4571429
India,7,18.35714286,145.5142857
India,8,22.0047619,148.4380952
India,9,19.57142857,125.5904762
India,10,14.99714286,115.3504762
India,11,14.27619048,111.5619048
India,12,14.34761905,124.247619
India,13,4.928571429,100.7238095
India,14,4.25,84.75
Iran,1,62.475,96.9375
Iran,2,61.35714286,93.1875
Iran,3,64,99.8125
Iran,4,65.82142857,100.6934524
Iran,5,77.66071429,105.9732143
Iran,6,64.5,77.72321429
Iran,7,40.10714286,63.08928571
Iran,8,44.39285714,100.4821429
Iran,9,44.44642857,94.08630952
Iran,10,38.10714286,77.72619048
Iran,11,39.41071429,71.50892857
Iran,12,22.55357143,71.625
Iran,13,18.23214286,60.91071429
Iran,14,19.9375,57.5625
Iraq,1,,131.25
Iraq,2,,108.1428571
Iraq,3,,116.1428571
Iraq,4,,103
Iraq,5,,
Iraq,6,1,
Iraq,7,1,
Iraq,8,1,114.6
Iraq,9,1,141.2857143
Iraq,10,1,86.47142857
Iraq,11,1,113.0119048
Iraq,12,1,88.85714286
Iraq,13,,73.21428571
Iraq,14,,65.25
Ireland,1,10.25,30.66666667
Ireland,2,11.57142857,32
Ireland,3,12.57142857,30.85714286
Ireland,4,23.42857143,48.14285714
Ireland,5,9.285714286,24.42857143
Ireland,6,18.14285714,45.71428571
Ireland,7,11.14285714,
Ireland,8,6.714285714,
Ireland,9,15.14285714,23.83333333
Ireland,10,18.28571429,37.71428571
Ireland,11,7.857142857,23.33333333
Ireland,12,23.14285714,25.57142857
Ireland,13,31,33.33333333
Ireland,14,17,
Israel,1,29.8,51.75
Israel,2,78.75714286,60.85714286
Israel,3,114.7857143,74.64285714
Israel,4,36.21428571,58.35714286
Israel,5,23.64285714,58
Israel,6,12.35714286,55.92857143
Israel,7,14,49.21428571
Israel,8,11.78571429,98.07142857
Israel,9,11.5,69.14285714
Israel,10,14.85714286,65.84285714
Israel,11,11.14285714,74.78571429
Israel,12,5.857142857,56.78571429
Israel,13,6.714285714,73.92857143
Israel,14,8.5,50
Italy,1,26.66666667,119.96875
Italy,2,24.8452381,105.4776786
Italy,3,23.33333333,112.6964286
Italy,4,30.19047619,97.26785714
Italy,5,28.47619048,99
Italy,6,25.42857143,71.82142857
Italy,7,25.85714286,76.91071429
Italy,8,28.32539683,90.44642857
Italy,9,19.08730159,66.73214286
Italy,10,20.88888889,56.20357143
Italy,11,19.33333333,60.71428571
Italy,12,18.57142857,76.57142857
Italy,13,11.47619048,53.39285714
Italy,14,9.666666667,66.9375
Japan,1,15.64,48.7625
Japan,2,23.29285714,41.46428571
Japan,3,24.78571429,49.27857143
Japan,4,22.52857143,53.81428571
Japan,5,19.17142857,31.125
Japan,6,20.18571429,48.70714286
Japan,7,29.46428571,57.69285714
Japan,8,21.54285714,49.29285714
Japan,9,22.82380952,45.59285714
Japan,10,18.51428571,46.01428571
Japan,11,21.23571429,45.58571429
Japan,12,19.12857143,48.48571429
Japan,13,17.72142857,52.19285714
Japan,14,18.7,39.95
Jordan,1,9.65,
Jordan,2,9.178571429,
Jordan,3,9.464285714,
Jordan,4,9.071428571,
Jordan,5,12.21428571,
Jordan,6,12.04285714,
Jordan,7,11.92857143,
Jordan,8,11.32738095,
Jordan,9,11.98809524,
Jordan,10,12.91071429,
Jordan,11,11.57142857,
Jordan,12,7.392857143,
Jordan,13,5.785714286,
Jordan,14,5.625,
Kuwait,1,18.8,66.33333333
Kuwait,2,33.57142857,71.52380952
Kuwait,3,24.4,75.34920635
Kuwait,4,22.85714286,63.38888889
Kuwait,5,21.28571429,70.23809524
Kuwait,6,18,71.52380952
Kuwait,7,22.2,66.51587302
Kuwait,8,24.42857143,62.20634921
Kuwait,9,21.85714286,73.9047619
Kuwait,10,22,66.95238095
Kuwait,11,22,61.13333333
Kuwait,12,16.16666667,62.11904762
Kuwait,13,17.71428571,65.19047619
Kuwait,14,13,71.33333333
Mexico,1,12.9,53.35416667
Mexico,2,19.52380952,72.01714286
Mexico,3,16.13333333,73.87460317
Mexico,4,17.26190476,60.86825397
Mexico,5,21.80952381,60.97857143
Mexico,6,20.74761905,60.58095238
Mexico,7,26.03214286,64.98412698
Mexico,8,28.38095238,66.81269841
Mexico,9,25.79761905,61.23809524
Mexico,10,27.22619048,64.9047619
Mexico,11,26.7047619,62.48857143
Mexico,12,25.48611111,57.66587302
Mexico,13,28.48214286,61.03333333
Mexico,14,11.66666667,72.36666667
Netherlands,1,12.78333333,74.70833333
Netherlands,2,14.51785714,38.85714286
Netherlands,3,12.29166667,32.14285714
Netherlands,4,22.66071429,72.38095238
Netherlands,5,10.75595238,38.5
Netherlands,6,15.71428571,48.47619048
Netherlands,7,9.452380952,34.9047619
Netherlands,8,7.970238095,34.5
Netherlands,9,11.22619048,31.57142857
Netherlands,10,13.33333333,39.11904762
Netherlands,11,9.660714286,33.69047619
Netherlands,12,9.892857143,38.52380952
Netherlands,13,8.297619048,60
Netherlands,14,9.1875,30.91666667
New Zealand,1,0.7,33
New Zealand,2,0.928571429,43
New Zealand,3,1.285714286,38.14285714
New Zealand,4,1.142857143,39
New Zealand,5,0.928571429,33.85714286
New Zealand,6,1,37
New Zealand,7,1.571428571,46
New Zealand,8,0.428571429,
New Zealand,9,0.428571429,
New Zealand,10,1.771428571,28
New Zealand,11,1.285714286,73.5
New Zealand,12,2.142857143,50.71428571
New Zealand,13,0.857142857,52
New Zealand,14,0.75,44.5
Peru,1,6.6,42.625
Peru,2,3.714285714,37.35714286
Peru,3,5.571428571,44
Peru,4,5.119047619,48.64285714
Peru,5,4.214285714,45.78571429
Peru,6,11,41.85714286
Peru,7,10,54.21428571
Peru,8,8.428571429,35.19047619
Peru,9,3.595238095,54.16666667
Peru,10,4.5,55.96428571
Peru,11,,40
Peru,12,,34.5
Peru,13,5,33.78571429
Peru,14,5.75,46.375
Philippines,1,5.233333333,66
Philippines,2,5.849206349,51.28571429
Philippines,3,6.476190476,54.5
Philippines,4,6.19047619,38.23809524
Philippines,5,5.817460317,40.16666667
Philippines,6,8.258730159,75.4047619
Philippines,7,8.055555556,75.46428571
